"Time","sum(rate(container_cpu_usage_seconds_total{name=""snuxi-local-mysql""}[1m])) * 100"
2026-03-09 22:15:00,2.94
2026-03-09 22:15:15,23.3
2026-03-09 22:15:30,45.0
2026-03-09 22:15:45,65.5
2026-03-09 22:16:00,80.0
2026-03-09 22:16:15,81.0
2026-03-09 22:16:30,82.3
2026-03-09 22:16:45,84.0
2026-03-09 22:17:00,85.6
2026-03-09 22:17:15,87.0
2026-03-09 22:17:30,87.9
2026-03-09 22:17:45,89.8
2026-03-09 22:18:00,90.6
2026-03-09 22:18:15,91.9
2026-03-09 22:18:30,92.5
2026-03-09 22:18:45,87.4
2026-03-09 22:19:00,92.8
2026-03-09 22:19:15,87.9
2026-03-09 22:19:30,92.9
2026-03-09 22:19:45,92.7
2026-03-09 22:20:00,92.9
2026-03-09 22:20:15,93.1
2026-03-09 22:20:30,93.1
2026-03-09 22:20:45,93.2
2026-03-09 22:21:00,93.2
2026-03-09 22:21:15,93.2
2026-03-09 22:21:30,93.3
2026-03-09 22:21:45,93.3
2026-03-09 22:22:00,93.2
2026-03-09 22:22:15,93.2
2026-03-09 22:22:30,93.1
2026-03-09 22:22:45,93.3
2026-03-09 22:23:00,93.3
2026-03-09 22:23:15,93.2
2026-03-09 22:23:30,93.1
2026-03-09 22:23:45,93.2
2026-03-09 22:24:00,93.3
2026-03-09 22:24:15,93.5
2026-03-09 22:24:30,93.6
2026-03-09 22:24:45,93.6
2026-03-09 22:25:00,93.7
2026-03-09 22:25:15,93.5
2026-03-09 22:25:30,93.6
2026-03-09 22:25:45,93.6
2026-03-09 22:26:00,93.7
2026-03-09 22:26:15,94.0
2026-03-09 22:26:30,94.0
2026-03-09 22:26:45,93.9
2026-03-09 22:27:00,91.5
2026-03-09 22:27:15,66.2
2026-03-09 22:27:30,42.0
2026-03-09 22:27:45,9.59
2026-03-09 22:28:00,0.867
2026-03-09 22:28:15,0.822
2026-03-09 22:28:30,0.862
2026-03-09 22:28:45,0.824
2026-03-09 22:29:00,0.821
2026-03-09 22:29:15,0.823
2026-03-09 22:29:30,0.875
2026-03-09 22:29:45,0.834
2026-03-09 22:30:00,0.839
