"Time","{instance=""app:8080"", job=""snuxi-local-app"", pool=""HikariPool-1""}"
2026-03-09 22:15:00,1.29 s
2026-03-09 22:15:15,11.8 s
2026-03-09 22:15:30,22.5 s
2026-03-09 22:15:45,33.2 s
2026-03-09 22:16:00,39.4 s
2026-03-09 22:16:15,39.2 s
2026-03-09 22:16:30,39.1 s
2026-03-09 22:16:45,38.8 s
2026-03-09 22:17:00,38.2 s
2026-03-09 22:17:15,38.2 s
2026-03-09 22:17:30,39.2 s
2026-03-09 22:17:45,41.4 s
2026-03-09 22:18:00,44.4 s
2026-03-09 22:18:15,46.7 s
2026-03-09 22:18:30,47.9 s
2026-03-09 22:18:45,47.8 s
2026-03-09 22:19:00,47.7 s
2026-03-09 22:19:15,47.4 s
2026-03-09 22:19:30,47.7 s
2026-03-09 22:19:45,47.7 s
2026-03-09 22:20:00,48.0 s
2026-03-09 22:20:15,48.0 s
2026-03-09 22:20:30,48.4 s
2026-03-09 22:20:45,48.5 s
2026-03-09 22:21:00,48.2 s
2026-03-09 22:21:15,48.0 s
2026-03-09 22:21:30,48.0 s
2026-03-09 22:21:45,47.9 s
2026-03-09 22:22:00,48.2 s
2026-03-09 22:22:15,48.2 s
2026-03-09 22:22:30,48.2 s
2026-03-09 22:22:45,48.2 s
2026-03-09 22:23:00,48.2 s
2026-03-09 22:23:15,47.6 s
2026-03-09 22:23:30,47.5 s
2026-03-09 22:23:45,47.6 s
2026-03-09 22:24:00,47.8 s
2026-03-09 22:24:15,47.8 s
2026-03-09 22:24:30,47.8 s
2026-03-09 22:24:45,47.9 s
2026-03-09 22:25:00,48.2 s
2026-03-09 22:25:15,48.2 s
2026-03-09 22:25:30,48.1 s
2026-03-09 22:25:45,48.1 s
2026-03-09 22:26:00,48.2 s
2026-03-09 22:26:15,48.2 s
2026-03-09 22:26:30,48.2 s
2026-03-09 22:26:45,48.3 s
2026-03-09 22:27:00,46.0 s
2026-03-09 22:27:15,32.9 s
2026-03-09 22:27:30,19.7 s
2026-03-09 22:27:45,6.44 s
2026-03-09 22:28:00,0 ms
2026-03-09 22:28:15,0 ms
2026-03-09 22:28:30,0 ms
2026-03-09 22:28:45,0 ms
2026-03-09 22:29:00,0 ms
2026-03-09 22:29:15,0 ms
2026-03-09 22:29:30,0 ms
2026-03-09 22:29:45,0 ms
2026-03-09 22:30:00,0 ms
