"Time","{instance=""app:8080"", job=""snuxi-local-app"", pool=""HikariPool-1""}"
2026-03-09 22:15:00,0.800
2026-03-09 22:15:15,0.980
2026-03-09 22:15:30,0.840
2026-03-09 22:15:45,0.920
2026-03-09 22:16:00,0.780
2026-03-09 22:16:15,0.860
2026-03-09 22:16:30,0.820
2026-03-09 22:16:45,0.620
2026-03-09 22:17:00,0.840
2026-03-09 22:17:15,0.860
2026-03-09 22:17:30,0.920
2026-03-09 22:17:45,1
2026-03-09 22:18:00,1
2026-03-09 22:18:15,1
2026-03-09 22:18:30,1
2026-03-09 22:18:45,0.980
2026-03-09 22:19:00,0.960
2026-03-09 22:19:15,0.980
2026-03-09 22:19:30,0.900
2026-03-09 22:19:45,1
2026-03-09 22:20:00,0.920
2026-03-09 22:20:15,0.980
2026-03-09 22:20:30,1
2026-03-09 22:20:45,0.960
2026-03-09 22:21:00,1
2026-03-09 22:21:15,0.820
2026-03-09 22:21:30,1
2026-03-09 22:21:45,1
2026-03-09 22:22:00,0.980
2026-03-09 22:22:15,1
2026-03-09 22:22:30,1
2026-03-09 22:22:45,1
2026-03-09 22:23:00,1
2026-03-09 22:23:15,1
2026-03-09 22:23:30,1
2026-03-09 22:23:45,0.920
2026-03-09 22:24:00,1
2026-03-09 22:24:15,0.980
2026-03-09 22:24:30,1
2026-03-09 22:24:45,0.980
2026-03-09 22:25:00,0.960
2026-03-09 22:25:15,1
2026-03-09 22:25:30,1
2026-03-09 22:25:45,0.980
2026-03-09 22:26:00,1
2026-03-09 22:26:15,1
2026-03-09 22:26:30,1
2026-03-09 22:26:45,0.980
2026-03-09 22:27:00,0
2026-03-09 22:27:15,0
2026-03-09 22:27:30,0
2026-03-09 22:27:45,0
2026-03-09 22:28:00,0
2026-03-09 22:28:15,0
2026-03-09 22:28:30,0
2026-03-09 22:28:45,0
2026-03-09 22:29:00,0
2026-03-09 22:29:15,0
2026-03-09 22:29:30,0
2026-03-09 22:29:45,0
2026-03-09 22:30:00,0
