"Time","{instance=""app:8080"", job=""snuxi-local-app"", pool=""HikariPool-1""}"
2026-03-09 21:51:00,0
2026-03-09 21:51:15,0.160
2026-03-09 21:51:30,0
2026-03-09 21:51:45,0
2026-03-09 21:52:00,0
2026-03-09 21:52:15,0
2026-03-09 21:52:30,0
2026-03-09 21:52:45,0
2026-03-09 21:53:00,0
2026-03-09 21:53:15,0
2026-03-09 21:53:30,0
2026-03-09 21:53:45,1
2026-03-09 21:54:00,1
2026-03-09 21:54:15,1
2026-03-09 21:54:30,1
2026-03-09 21:54:45,0.980
2026-03-09 21:55:00,1
2026-03-09 21:55:15,1
2026-03-09 21:55:30,0.980
2026-03-09 21:55:45,0.960
2026-03-09 21:56:00,0.880
2026-03-09 21:56:15,1
2026-03-09 21:56:30,1
2026-03-09 21:56:45,1
2026-03-09 21:57:00,1
2026-03-09 21:57:15,1
2026-03-09 21:57:30,1
2026-03-09 21:57:45,0.960
2026-03-09 21:58:00,0.980
2026-03-09 21:58:15,1
2026-03-09 21:58:30,1
2026-03-09 21:58:45,0.900
2026-03-09 21:59:00,1
2026-03-09 21:59:15,1
2026-03-09 21:59:30,1
2026-03-09 21:59:45,1
2026-03-09 22:00:00,1
2026-03-09 22:00:15,0.980
2026-03-09 22:00:30,0.900
2026-03-09 22:00:45,0.960
2026-03-09 22:01:00,0.980
2026-03-09 22:01:15,1
2026-03-09 22:01:30,1
2026-03-09 22:01:45,1
2026-03-09 22:02:00,1
2026-03-09 22:02:15,1
2026-03-09 22:02:30,1
2026-03-09 22:02:45,1
2026-03-09 22:03:00,1
2026-03-09 22:03:15,1
2026-03-09 22:03:30,0.900
2026-03-09 22:03:45,1
2026-03-09 22:04:00,1
2026-03-09 22:04:15,1
2026-03-09 22:04:30,1
2026-03-09 22:04:45,1
2026-03-09 22:05:00,0.0600
2026-03-09 22:05:15,1
2026-03-09 22:05:30,1
2026-03-09 22:05:45,0
2026-03-09 22:06:00,0
