Time,"{__name__=""redis_mem_fragmentation_ratio"", instance=""redis_exporter:9121"", job=""redis-exporter""}"
2026-03-06 15:46,6.66
2026-03-06 15:46,6.66
2026-03-06 15:46,6.66
2026-03-06 15:47,6.66
2026-03-06 15:47,6.66
2026-03-06 15:47,6.66
2026-03-06 15:47,6.66
2026-03-06 15:48,6.66
2026-03-06 15:48,6.66
2026-03-06 15:48,6.66
2026-03-06 15:48,7.86
2026-03-06 15:49,6.98
2026-03-06 15:49,7.04
2026-03-06 15:49,6.91
2026-03-06 15:49,6.89
2026-03-06 15:50,6.73
2026-03-06 15:50,4.11
2026-03-06 15:50,3.3
2026-03-06 15:50,2.7
2026-03-06 15:51,2.4
2026-03-06 15:51,2.11
2026-03-06 15:51,1.99
2026-03-06 15:51,1.81
2026-03-06 15:52,1.69
2026-03-06 15:52,1.61
2026-03-06 15:52,1.58
2026-03-06 15:52,1.5
2026-03-06 15:53,1.44
2026-03-06 15:53,1.38
2026-03-06 15:53,1.35
2026-03-06 15:53,1.32
2026-03-06 15:54,1.33
2026-03-06 15:54,1.29
2026-03-06 15:54,1.27
2026-03-06 15:54,1.26
2026-03-06 15:55,1.24
2026-03-06 15:55,1.24
2026-03-06 15:55,1.23
2026-03-06 15:55,1.21
2026-03-06 15:56,1.2
2026-03-06 15:56,1.2
2026-03-06 15:56,1.19
2026-03-06 15:56,1.19
2026-03-06 15:57,1.19
2026-03-06 15:57,1.18
2026-03-06 15:57,1.18
2026-03-06 15:57,1.17
2026-03-06 15:58,1.17
2026-03-06 15:58,1.17
2026-03-06 15:58,1.16
2026-03-06 15:58,1.16
2026-03-06 15:59,1.16
2026-03-06 15:59,1.15
2026-03-06 15:59,1.15
2026-03-06 15:59,1.15
2026-03-06 16:00,1.15
2026-03-06 16:00,1.16
2026-03-06 16:00,1.16
2026-03-06 16:00,1.18
2026-03-06 16:01,1.17
2026-03-06 16:01,1.18
